url,title,content,score,raw_content
https://arxiv.org/html/2510.08617v1,Reproducible Evaluation of Data Augmentation and Loss Functions ...,"This study presents a reproducible evaluation of U-Net performance on brain tumor MRI with focal loss and basic data augmentation strategies. Focal loss is commonly applied to address class imbalance by increasing the weight of hard-to-classify regions, such as tumor boundaries. We systematically evaluated the effect of focal loss parameters alongside three augmentation techniques — horizontal flip, rotation, and scaling — to assess their impact on segmentation accuracy and generalization.

The major contributions of this work are given below:

 •

  A baseline implementation of U-Net with focal loss for brain tumor MRI segmentation
 •

  Analysis of the impact of varying focal loss parameters on model performance
 • [...] to guide future research on augmentation strategies and loss function design in brain tumor segmentation. [...] Brain tumor segmentation is crucial for diagnosis and treatment planning, yet challenges such as class imbalance and limited model generalization continue to hinder progress. This work presents a reproducible evaluation of U-Net segmentation performance on brain tumor MRI using focal loss and basic data augmentation strategies. Experiments were conducted on a publicly available MRI dataset, focusing on focal loss parameter tuning and assessing the impact of three data augmentation techniques: horizontal flip, rotation, and scaling. The U-Net with focal loss achieved a precision of 90%, comparable to state-of-the-art results. By making all code and results publicly available, this study establishes a transparent, reproducible baseline to guide future research on augmentation strategies and",0.99998176,
https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2024.1342572/full,A novel approach to brain tumor detection using K-Means ... - Frontiers,"• The image dataset is subjected to synthetic data augmentation methods, that boosts the volume of training data and enhance the effectiveness of the deep learning model without overfitting.

• The findings reveal that the suggested approach performs better than current approaches in terms of sensitivity and accuracy, highlighting its potential for enhancing brain tumor detection and identification. [...] Consequently, the dataset size was expanded from 802 to 1,604 images, providing a more comprehensive training set. As illustrated in Figure 3, the augmented images demonstrate the effectiveness of these transformations in creating a robust training dataset. This approach is supported by studies like those by Shorten and Khoshgoftaar (2019), which highlight the significant improvements in deep learning model performance and generalization through data augmentation techniques. [...] Synthetic data augmentation is employed to generate additional modifications of segmented MRI images, such as rotations, translations, and alterations in brightness and contrast, to enhance diversity and robustness of the training dataset. These random transformations help the model generalize better, reducing the risk of overfitting and improving its performance. Specifically, fundamental augmentation techniques such as rotation, shifting, shearing, zooming, flipping, and fill mode, which manages how vacant pixels are filled after transformations, were used. This process is crucial in medical imaging, where tumors can appear in various forms and orientations, and adjusting brightness and contrast mimics the variability in MRI scans. Consequently, the dataset size was expanded from 802 to",0.99996495,
https://drpress.org/ojs/index.php/HSET/article/download/6204/6004,[PDF] Study on Data Augmentation Method for Brain Tumour Detection,"dataset to train the model to get accuracy and loss. Data augmentation means building algorithms through the introduction of unseen data . This study includes three data augmentation method, which will be explained separately. The first method used in this article is named normal augmentation. It is a simple way in python to achieve data augmentation. The normal augmentation in this article uses rotation, flip, scale, and translation to create new datasets. Shorten says that shifting images left, right, up, and down is a very efficient way to prevent positional bias . The second method used in this study is called mixup. Mixup method refer to select two samples randomly and create the new one. Liang says mixup method has a better ability of generalization than normal data augmentation [...] are showed up. In figure 1, the trend of both accuracy and validation accuracy is increasing. The train accuracy starts from about 0.64 and the validation accuracy starts from about 0.76. After 30 epochs training, the train accuracy comes to 0.9942 and the validation accuracy comes to 0.9583. In figure 2, it is showed that both train loss and validation loss is decreasing when epochs are increasing. At the end of training, train loss reaches to 0.0168 and the validation loss reaches to 0.1585. Figure 3. Accuracy for training and validation of model trained by mixup augmented data. Highlights in Science, Engineering and Technology MISBP 2022 Volume 36 (2023) 1213 Figure 4. Loss for training and validation of model trained by mixup augmented data. According to the figures above (Figure [...] CNN is employed in many fields because of its powerful image classification function. In medical field, CNN is employed to detect brain tumors. The reason is that manual detections receive low accuracy. This article discusses how different data augmentation method will influence the accuracy of the CNN model when classifying brain tumors. Data augmentation will improve the model’s performance and generalization when the dataset to train the model is small. In this study, three different methods of data augmentation are employed to augment the dataset (normal augmentation, cutout augmentation and mixup augmentation.) Among all those methods, models trained by cutout and mixup perform better than the model trained by original dataset, while models with normal augmentation has lower accuracy",0.9999465,
https://pmc.ncbi.nlm.nih.gov/articles/PMC11894048/,A novel approach for the detection of brain tumor and its ... - NIH,"data sets. It also helps in the classification of brain tumors. [...] model consists of a deep neural network and an image processing framework. It is divided into various phases, such as the mapping stage, the data augmentation stage, and the tumor discovery stage. The data augmentation stage involves training a CNN to identify the regions of the image that are overlapping with the tumor space marker. The DCNN’s predicted performance is compared with the test result. The third stage is focused on training a deep neural system and a SVM. This model was able to achieve a 99% accuracy rate and a sensitivity of 0.973%. It is primarily utilized for identifying brain tumors. [...] the training model’s accuracy was increasing, which means that it could be used to identify brain tumor.",0.9998118,
https://link.springer.com/article/10.1007/s11042-022-12362-9,A novel framework for brain tumor detection based on convolutional ...,"probability distribution of the data and has weights and biases 𝜃. The decoder is denoted by P𝜃(x|z). The loss function is the negative log-likelihood function defined as follows, [...] Our proposed framework with two networks: the generator network and the classifier. The preprocessed images are used to train the generator network described in Section 3.3. Figure 4 shows a sample of generated images using the generative network. In the start of training the generative network, the network was not able to generate clear brain MRI images. With increasing the training time (i.e.number of training iterations), the network generates clearer images that eventually reflect the typical pattern of the brain MRI images. We used the generator network to convert the original small training dataset to a larger one with 1000 samples (500 for each class). The newly generated large dataset is then used for training the classifier network for detection. The classifier network is [...] #### 4.2.2 Transfer learning

A pre-trained modified VGG network followed by a dense layer with 256 neurons and the output layer with two neurons is trained using the small training dataset (after pre-processing). RMSprop is used as an optimizer with a learning rate of 0.0004. The loss function is categorical cross-entropy. The dropout rate is chosen to be 0.5.

#### 4.2.3 Proposed framework",0.9997918,
https://pmc.ncbi.nlm.nih.gov/articles/PMC10453020/,Brain Tumor Detection Based on Deep Learning Approaches and ...,"In order to identify brain tumors, we used a dataset consisting of 10,288 images. Data augmentation techniques were applied just to this fraction in order to enlarge the training set. As shown in Table 2, this brought the total number of pictures available for the task of identifying brain tumors from MRI scans to 51,448 images.

#### Table 2.

Data augmentation on the brain tumor dataset. [...] For the overall loss to be minimized and the accuracy to be maximized, an optimizer that makes adjustments to the neural network’s biases and learning rate is essential. When it comes to training the model, the optimizer picked matters a lot. For this analysis, we turned to the binary cross-entropy loss function and the Adam optimizer. [...] synthetic data samples or modifies the existing data slightly. Data augmentation is becoming increasingly popular in several research areas, including signals, computer vision, speech processing, and natural language processing [66,67]. It is possible to intentionally increase the size of a dataset by employing methods like data rotation, scaling, and noise addition. Pictures can be enlarged by zooming in, flipped horizontally or vertically by certain degrees, and have their brightness altered up or down, just to name a few of the alterations that can be made. Data augmentation uses these techniques to effectively increase the training data’s dimensionality, leading to better ML and DL model performance and resilience.",0.9997695,
https://www.nature.com/articles/s41598-025-14901-4,Enhanced MRI brain tumor detection using deep learning in ... - Nature,"Further, several advanced data augmentation techniques were utilized to enhance the diversity of the benchmark training dataset and strengthen the model’s ability to generalize to novel data. Data augmentation is a technique that artificially increases the quality such as illumination, size, and orientation as well as the diversity of a dataset by applying various transformations. This research utilized random modifications to brightness and contrast. Brightness was arbitrarily adjusted within a range of 0.8 to 1.2, emulating diverse lighting situations that may arise during image acquisition. Likewise, the contrast was modified within the identical range to assist the model in identifying tumor characteristics across varying imaging settings. Subsequently, all enhanced images were [...] stratified cross-validation test was adopted to ensure fair evaluation and address class imbalance. In five-fold cross validation test, data was split into five folds such that each fold preserved the same class distribution as the overall dataset. This method ensures that every tumor subtypes, including minority classes are proportionally represented in each training and validation test, this technique enhances the reliability of performance metrics. [...] of training; however, it may not achieve the same level of proficiency as CNN in processing highly complex image data. However, the dependence on extracted features indicates that performance may be suboptimal when encountering unseen or complex variations in medical images.",0.9997508,
https://pmc.ncbi.nlm.nih.gov/articles/PMC12699001/,Hybrid Deep Learning for Brain Tumor Detection - PubMed Central,"Data augmentation aids in the artificial expansion of the training dataset in the context of brain tumor detection, enhancing the model’s capacity for generalization and performance on unknown data. The images in this dataset are divided into 2 categories: Yes (tumor-containing images) and No (tumor-free images). There were originally 251 photos in the Yes category and only 21 in the No category. As shown in Table 2, the number of photos in the Yes category rises to 1506 and in the No category to 126 following the use of data augmentation.

#### Table 2.

Dataset Before and After Augmentation.

| Dataset brain tumor | Original images | Augmented images |
| Yes | 251 | 1506 |
| No | 21 | 126 |
| Total | 272 | 1632 |

Open in a new tab

### Methods of Data Augmentation [...] ### Data Enrichment for Brain Tumor Identification

In deep learning, data augmentation is an essential strategy, especially in fields like medical imaging, where gathering diverse and huge datasets can be difficult. Before applying the augmentation, images have been enhanced using noise removal and contrast enhancement, and the enhanced image is shown in Figure 1. [...] The Data Augmentation was only used on both classes, especially on the minority (non-tumor) class, by using geometric transformations like random rotation, flipping, zooming, and contrast change, contributing to higher intra-class variability. Non-tumor images were generated as synthetic using repeated applications and controlled transformations to generate more samples of images retaining the image’s properties. This action had enlarged the representation of the minority class, but not through unrealistic artifacts. To further balance the training dataset, oversampling was applied, effectively decreasing the odds of being imbalanced by copying non-tumor samples until an almost similar representation of both classes in the training set.",0.9997305,
https://pubsonline.informs.org/do/10.1287/orms.2023.04.03/full/,Revolutionizing Brain Tumor Detection: The CNN-Based Medical ...,"## Performance Evaluation

We rigorously evaluated our CNN-based brain tumor detection model using a 90-10 training-testing split ratio on a diverse and representative data set. The model was trained with the AdaMax algorithmic optimizer and categorical cross-entropy loss function, achieving a remarkable training loss of 0.0018. This demonstrates the model’s efficient pattern learning and strong convergence during training. We assessed the model’s performance on a separate testing data set to ensure robustness, verifying its generalization capabilities. Combining a well-curated data set, efficient optimizer and appropriate loss function has resulted in a promising brain tumor detection model with potential applications in real-world medical scenarios. [...] 4. Batch normalization: Batch normalization is a powerful technique in deep learning that enhances training by normalizing the activation functions of each layer. It mitigates the internal covariate shift problem, improving convergence and optimization. Batch normalization enables higher learning rates, leading to faster training and better performance. It acts as a regularizer, preventing overfitting, and reduces the need for manual hyperparameter tuning. This technique is a standard component in modern deep learning architectures, contributing to the success of training deep neural networks on complex tasks. [...] 1. Data preprocessing: Before model building, medical images undergo preprocessing, including image resizing, normalization and data augmentation. Image resizing ensures uniform size, simplifying computational requirements and enabling efficient data processing. Normalization scales pixel values to a standardized range (typically 0 to 1), reducing the impact of intensity variations. Data augmentation expands the training data set using transformations such as rotations, flips and brightness adjustments, improving the model’s generalization and robustness to varying conditions.",0.99963164,
https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2025.1508326/full,A deep learning approach for brain tumour classification ... - Frontiers,"To further boost model performance on the training images, various data augmentation practices such as rotation, scaling, and flipping were implemented. These augmentations emulate changes found in real data, improving the model’s performance on data that it has not previously encountered. Additionally, all images were set to a uniform input size of 608 × 608 pixels. This standardization improves consistency and ensures the preservation of essential details required for precise tumor detection.

Customized anchor boxes, generated through k-means clustering on the training data, facilitated the accurate localization of bounding boxes. The IoU threshold of 0.5 was employed to establish valid detections, effectively balancing sensitivity and specificity in tumor detection. [...] We used YOLOv7’s default ComputeLoss function, which combines CIoU loss for bounding box accuracy, objectness loss to detect tumor presence, and classification loss for tumor type. These help to improve detection and classification performance. Although ComputeLossOTA and other advanced loss functions were not used, they have potential for handling low-quality or imbalanced data better.

### 3.6 Hyperparameter tuning and optimization of YOLOv7 model [...] Skewed performance metrics: High overall accuracy may be misleading if the model fails to correctly predict the minority class.

#### 3.2.4 Addressing the data imbalance

To address the class imbalance, the following techniques were considered.

Data augmentation: Geometric and photometric transformations (such as rotations, flips, zoom, and brightness adjustments) were applied to increase the effective size of the minority class.

Class weighting: Class weights were set during the model training phase and were set inversely to the frequency of the class to increase the penalty for the wrong classification of minority classes.",0.99948466,
